xdata,ydata,zdata,color
-0.0007451721,-0.0008074835,-0.0007493732,1.0173633
-0.0007411795,-0.0008056653,-0.0007478103,1.0368067
-0.0007407485,-0.0007994655,-0.0007411251,1.0409767
-0.000740138,-0.0007948503,-0.0007403649,1.04861333
-0.0007329593,-0.0007830731,-0.0007400619,1.05972
-0.0007311639,-0.0007828212,-0.000737721,1.06389
-0.0007303825,-0.0007825363,-0.0007252019,1.0715233
-0.0007262618,-0.0007785761,-0.0007251814,1.0826433
-0.0007227717,-0.0007775306,-0.0007235398,1.09236
-0.0007152959,-0.0007672483,-0.000723244,1.1006967
-0.0007134242,-0.0007645401,-0.0007218346,1.1062467
-0.0007125037,-0.0007635389,-0.0007183995,1.12014
-0.0007086466,-0.0007629462,-0.0007176306,1.12431
-0.0007064451,-0.0007562192,-0.0007150043,1.13194667
-0.0007056039,-0.0007538168,-0.000695874,1.14305333
-0.0007047111,-0.000751594,-0.0006948616,1.1472233
-0.0007008369,-0.0007503419,-0.0006931004,1.1548567
-0.0006981628,-0.0007489554,-0.0006869719,1.1659767
-0.0006941527,-0.0007473052,-0.0006861596,1.1756933
-0.000689563,-0.0007460378,-0.0006852667,1.18403
-0.0006825212,-0.0007457731,-0.0006818401,1.18958
-0.0006790637,-0.0007456272,-0.0006808298,1.2034733
-0.0006775356,-0.0007442433,-0.0006790774,1.2076433
-0.0006698144,-0.0007411984,-0.0006727367,1.21528
-0.000669728,-0.0007408818,-0.0006659718,1.22638667
-0.0006623792,-0.0007378879,-0.0006658925,1.2305567
-0.0006608006,-0.0007340415,-0.0006595772,1.23819
-0.0006607868,-0.0007325738,-0.0006458367,1.24931
-0.0006588888,-0.0007320418,-0.0006451115,1.2590267
-0.0006535658,-0.0007246933,-0.0006450427,1.2673633
-0.0006533129,-0.0007229106,-0.0006412336,1.2729133
-0.000644272,-0.000721439,-0.0006394317,1.2868067
-0.0006405439,-0.000720491,-0.0006382538,1.2909767
-0.0006401866,-0.0007174331,-0.0006382174,1.29861333
-0.0006375305,-0.0007151285,-0.0006342248,1.30972
-0.0006291854,-0.000710502,-0.0006339196,1.31389
-0.0006287389,-0.0006986638,-0.0006321414,1.3215233
-0.000625329,-0.000698486,-0.0006311035,1.3326433
-0.0006190497,-0.0006954032,-0.0006276956,1.34236
-0.0006134604,-0.0006935227,-0.0006232154,1.3506967
-0.000611852,-0.0006908936,-0.0006133805,1.3562467
-0.0006115379,-0.0006836264,-0.0006107544,1.37014
-0.0006111509,-0.0006762555,-0.0006048683,1.37431
-0.0006108779,-0.0006601969,-0.0006019529,1.38194667
-0.0006106207,-0.0006590785,-0.0005993693,1.39305333
-0.0006088418,-0.0006585577,-0.0005930769,1.4048567
-0.0006068869,-0.0006544277,-0.0005914885,1.4159767
-0.0006066682,-0.0006499274,-0.0005882517,1.4256933
-0.0006023921,-0.0006489563,-0.0005862892,1.43403
-0.0006008186,-0.0006400617,-0.0005860406,1.43958
-0.0005974835,-0.0006294025,-0.0005859098,1.4534733
-0.0005968869,-0.0006248086,-0.0005826328,1.4576433
-0.0005959128,-0.0006185898,-0.000577665,1.46528
-0.0005952799,-0.0006160307,-0.0005773213,1.47638667
-0.0005926853,-0.0006000914,-0.0005758671,1.48819
-0.0005913659,-0.0005991332,-0.0005750196,1.49931
-0.0005898045,-0.0005953929,-0.0005743176,1.5090267
-0.0005885349,-0.0005953499,-0.0005742515,1.5173633
-0.0005876498,-0.0005949002,-0.0005730796,1.5229133
-0.0005846632,-0.0005935144,-0.0005722987,1.5368067
-0.0005791602,-0.0005887877,-0.0005704098,1.5409767
-0.0005699855,-0.0005745934,-0.0005691835,1.54861333
-0.0005678873,-0.0005691754,-0.0005661824,1.55972
-0.0005635107,-0.0005658047,-0.0005635847,1.5715233
-0.0005630863,-0.0005547408,-0.0005605958,1.5826433
-0.0005500758,-0.0005529172,-0.0005571575,1.59236
-0.0005495249,-0.0005522251,-0.0005547352,1.6006967
-0.0005482373,-0.0005463473,-0.0005543261,1.6062467
-0.0005442085,-0.0005380401,-0.0005493666,1.62014
-0.0005417266,-0.0005340849,-0.000548048,1.62431
-0.0005403505,-0.0005319797,-0.0005447257,1.63194667
-0.0005394796,-0.0005308595,-0.0005377589,1.64305333
-0.0005333556,-0.0005302476,-0.0005332756,1.6548567
-0.0005333338,-0.0005294033,-0.0005315571,1.6659767
-0.0005292295,-0.000525226,-0.000526759,1.6756933
-0.0005275137,-0.0005238438,-0.0005217061,1.68403
-0.0005257776,-0.0005219638,-0.0005181866,1.68958
-0.0005250613,-0.0005188871,-0.0005133275,1.7034733
-0.0005248056,-0.0005159729,-0.0005130266,1.7076433
-0.000521952,-0.0005150976,-0.0005121756,1.71528
-0.0005219147,-0.0005132127,-0.0005030579,1.72638667
-0.0005186712,-0.0005114073,-0.0005010924,1.73819
-0.0005172478,-0.0005086568,-0.0005008998,1.74931
-0.0005143692,-0.0005044239,-0.0005003404,1.7590267
-0.0005104018,-0.0005030107,-0.0004999212,1.7673633
-0.000507305,-0.0005018473,-0.0004960294,1.7868067
-0.0005061167,-0.0004967403,-0.0004898459,1.7909767
-0.0005022783,-0.000496374,-0.0004873339,1.79861333
-0.0005000245,-0.0004942147,-0.0004864331,1.80972
-0.0004993839,-0.0004929571,-0.0004855792,1.8215233
-0.0004925997,-0.000484262,-0.0004843165,1.8326433
-0.0004876613,-0.0004838573,-0.0004832386,1.84236
-0.000485479,-0.000482799,-0.0004828094,1.8506967
-0.00047927,-0.0004728431,-0.0004801309,1.8666633
-0.0004748493,-0.000470019,-0.000477552,1.87014
-0.0004743959,-0.0004690703,-0.0004773422,1.87431
-0.0004671231,-0.0004670463,-0.000473255,1.88194667
-0.0004647261,-0.0004642228,-0.0004695093,1.89305333
-0.0004620287,-0.000462427,-0.0004692868,1.9048567
-0.000459434,-0.0004616421,-0.0004631052,1.9159767
-0.0004558918,-0.000457128,-0.0004558663,1.9256933
-0.0004513236,-0.000453587,-0.0004547884,1.93403
-0.0004458255,-0.000447118,-0.0004539837,1.9499967
-0.0004440911,-0.0004463104,-0.0004511249,1.9534733
-0.0004404936,-0.0004454729,-0.000449692,1.9576433
-0.0004389019,-0.0004417353,-0.0004484511,1.96528
-0.0004352999,-0.0004352153,-0.0004483866,1.97638667
-0.0004352031,-0.0004333516,-0.0004482808,1.98819
-0.0004336275,-0.0004317489,-0.0004464428,1.99931
-0.0004329991,-0.0004290781,-0.0004393257,2.0090267
-0.0004318391,-0.0004284242,-0.0004361938,2.0173633
-0.000427616,-0.0004230068,-0.0004341143,2.03333
-0.0004270148,-0.0004222966,-0.0004337676,2.0368067
-0.0004259374,-0.0004204663,-0.0004286114,2.0409767
-0.0004254265,-0.0004192784,-0.0004271128,2.04861333
-0.0004254197,-0.0004181725,-0.0004233419,2.05972
-0.0004243302,-0.0004180078,-0.0004229097,2.0715233
-0.0004230766,-0.000416717,-0.0004221708,2.0826433
-0.0004215955,-0.0004155844,-0.0004216288,2.1006967
-0.0004203749,-0.0004148585,-0.0004175402,2.1166633
-0.0004201014,-0.0004120177,-0.0004170011,2.12014
-0.0004162208,-0.0004097604,-0.0004152557,2.12431
-0.0004156588,-0.0004088726,-0.000413342,2.13194667
-0.0004155957,-0.0004046083,-0.0004115194,2.14305333
-0.0004121286,-0.0004033817,-0.0004102719,2.1548567
-0.0004120005,-0.0003985727,-0.000409956,2.1659767
-0.0004109829,-0.0003967128,-0.0004083268,2.18403
-0.0004105708,-0.000392367,-0.00040401,2.1999967
-0.0004097984,-0.0003918264,-0.0004037546,2.2034733
-0.0004085986,-0.0003907417,-0.0004032171,2.2076433
-0.0004057609,-0.0003826014,-0.0004029958,2.21528
-0.0004033807,-0.0003753074,-0.0004005372,2.22638667
-0.0003997643,-0.0003737237,-0.0003973788,2.23819
-0.0003978449,-0.0003728639,-0.0003965711,2.24931
-0.000397685,-0.0003722785,-0.0003948867,2.2673633
-0.0003954046,-0.0003680177,-0.0003808457,2.28333
-0.0003934906,-0.0003675684,-0.0003807967,2.2868067
-0.0003921582,-0.0003626858,-0.0003804773,2.2909767
-0.0003889955,-0.0003619105,-0.0003786272,2.29861333
-0.0003886282,-0.0003600144,-0.0003748372,2.30972
-0.0003862103,-0.0003586694,-0.0003649207,2.3215233
-0.0003859929,-0.0003528829,-0.0003643111,2.3326433
-0.0003844496,-0.0003525412,-0.0003637414,2.3506967
-0.0003813901,-0.0003524022,-0.0003599617,2.3666633
-0.0003790321,-0.000352329,-0.0003588397,2.37014
-0.0003784832,-0.0003488044,-0.0003560494,2.37431
-0.0003755495,-0.0003459462,-0.0003542518,2.38194667
-0.0003708269,-0.0003458298,-0.000350435,2.39305333
-0.0003701438,-0.0003451652,-0.0003485177,2.4048567
-0.000367572,-0.0003432431,-0.0003484476,2.4159767
-0.0003646367,-0.0003418334,-0.0003482309,2.43403
-0.0003643177,-0.0003406705,-0.0003478482,2.4499967
-0.00036262,-0.0003400107,-0.0003471605,2.4534733
-0.0003613813,-0.000338434,-0.0003469964,2.4576433
-0.0003594131,-0.0003376555,-0.000343494,2.46528
-0.0003544411,-0.0003358167,-0.0003414162,2.47638667
-0.0003535373,-0.000335332,-0.0003407667,2.48819
-0.0003510786,-0.0003347463,-0.0003406394,2.49931
-0.0003468712,-0.0003344031,-0.0003396963,2.5173633
-0.0003467171,-0.0003311612,-0.0003382865,2.53333
-0.0003459644,-0.0003297266,-0.000338024,2.5368067
-0.0003454483,-0.0003289007,-0.0003289204,2.5409767
-0.0003416337,-0.000324938,-0.000328749,2.54861333
-0.0003404068,-0.0003243179,-0.0003259097,2.55972
-0.0003387324,-0.0003213851,-0.0003249223,2.5715233
-0.0003376421,-0.0003211054,-0.0003227556,2.5826433
-0.00033038,-0.0003205209,-0.000319441,2.6006967
-0.0003282685,-0.0003150116,-0.0003182675,2.6166633
-0.0003273765,-0.000313837,-0.0003156111,2.62014
-0.0003267082,-0.0003120255,-0.000314268,2.62431
-0.0003263477,-0.0003115375,-0.0003086785,2.63194667
-0.0003242878,-0.0003073885,-0.0003053741,2.64305333
-0.0003170281,-0.0003038668,-0.0003030099,2.6548567
-0.0003138175,-0.0003014337,-0.0003012047,2.6659767
-0.0003127834,-0.0003004711,-0.0002973713,2.68403
-0.00031155,-0.0002989533,-0.000295949,2.6999967
-0.0003114837,-0.0002984518,-0.0002953707,2.70139
-0.000310982,-0.0002964693,-0.0002936305,2.7034733
-0.0003088484,-0.0002883671,-0.0002936242,2.7076433
-0.0003071437,-0.0002847485,-0.0002904104,2.71528
-0.0003051479,-0.0002830601,-0.0002886583,2.72638667
-0.0003048039,-0.0002812275,-0.0002881172,2.73819
-0.0003024437,-0.0002798621,-0.000286705,2.74931
-0.0003002682,-0.000276342,-0.0002862815,2.7673633
-0.0002977176,-0.0002760039,-0.0002848528,2.78333
-0.0002955912,-0.000275814,-0.0002831839,2.7847233
-0.000295005,-0.0002736681,-0.0002806731,2.7868067
-0.0002941788,-0.0002733787,-0.000274248,2.7909767
-0.0002922158,-0.0002709475,-0.0002689335,2.79861333
-0.000291255,-0.0002695517,-0.0002686856,2.80972
-0.0002894192,-0.0002695082,-0.0002682132,2.8215233
